filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
75154_1x_BF8_01_17481.mzXML,11442.G75154,carrot; cooked with other ingredients,carrot,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75155_1x_BA7_01_17390.mzXML,11442.G75155,peas; cooked with other ingredients,peas,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75156_1x_BA3_01_17423.mzXML,11442.G75156,pine nut; cooked with other ingredients,pine nuts,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75157_1x_BF6_01_17480.mzXML,11442.G75157,sweet corn; cooked with other ingredients,corn,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75218_1x_BG8_01_20774.mzXML,11442.G75218,gingerbeer,carbonated water,cane sugar,ginger root,natural flavors,citric acid,yeast,perservatives
75219_1x_20ul_BD8_01_21381.mzXML,11442.G75219,Whiskey,water,grain,corn,rye,yeast,not collected,not collected
75220_1x_BF8_01_20765.mzXML,11442.G75220,Humm brand kombucha pomegranate lemonade flavor,filtered water,organic green tea,organic black tea,organic cane sugar,live kombucha culture,organic pomegranate juice concentrate,organic lemon juice
75221_1x_BC6_01_20738.mzXML,11442.G75221,margarita mix with tequila (12% alc/vol),3% real lime juice,gold tequila,triple sec liquor,cane sugar,not collected,not collected,not collected
75222_1x_15ul_rerun_BA9_01_21450.mzXML,11442.G75222,rose wine,grape,not collected,not collected,not collected,not collected,not collected,not collected
75226_1x_BF5_01_20762.mzXML,11442.G75226,probiotic super smoothie,organic apple,organic pineapple,organic spinach,organic kale,probiotic Bacillus coagulus,GBI-30 6086,not applicable
75231_1x_14ul_rerun_BA8_01_21449.mzXML,11442.G75231,nm peach kombucha,peach (New mexico peach that was homegrown),black tea,green tea,sugar,water,scoby,not applicable
75235_1x_BF4_01_20761.mzXML,11442.G75235,mocha nut latte,water,organic dates,organic cashews,organic almonds,organic ground coffee beans,organic cocoa powder,organic cultured dextrose;himalayan pink salt;organic vanilla beans;organic cinnamon
75236_1x_BD4_01_20744.mzXML,11442.G75236,10 Anchovy fish sauce,water,anchovy extract,salt,sugar,not applicable,not applicable,not applicable
75238_1x_BH4_01_20778.mzXML,11442.G75238,bai sparkling antioxidant infusion - peru pineapple,filtered carbonated water,"Bai proprietary sweetener blend (erythritol, stevia leaf extract)",citric acid,natural flavors,pineapple juice concentrate,coffeefruit extract,white tea extract;malic acid;vitamin C;beta carotene;sodium citrate
75259_1x_BC7_01_20739.mzXML,11442.G75259,Jarritos fruit punch flavor,carbonated water,sugar,citric acid,natural flavors,sodium benzoate,red 40,carmel color
75260_1x_BD7_01_20747.mzXML,11442.G75260,Jarritos Mango Flavor,carbonated water,sugar,natural flavors,citric acid,sodium benzoate,yellow 5,yellow 6
75261_1x_rerun_BB6_01_21458.mzXML,11442.G75261,H.L.V. ale,malt,hop,water,not collected,not collected,not collected,not collected
75262_1x_rerun_BA6_01_21393.mzXML,11442.G75262,Pilsner beer,not collected,not collected,not collected,not collected,not collected,not collected,not collected
75263_1x_BD6_01_20746.mzXML,11442.G75263,Newtons Folly cider,hard cider,less than 1% natural flavors,less than 1% sulfites,not collected,not collected,not collected,not collected
75264_1x_BE6_01_20754.mzXML,11442.G75264,IPA,not collected,not collected,not collected,not collected,not collected,not collected,not collected
75733_1x_BH2_01_20776.mzXML,11442.G75733,pure leaf lemon tea,brewed tea,sugar,citric acid,natural flavor,pectin (citrus),not applicable,not applicable
75739_1x_rerun_BB8_01_21460.mzXML,11442.G75739,cucumber mint kombucha (organic and homegrown mint from Julia's garden),cucumber,homegrown mint,black tea,green tea,sugar,water,scoby
75749_1x_BG3_01_20768.mzXML,11442.G75749,fish sauce,anchovy extract,salt,water,fructose,hydrolysed vegetable protein,not applicable,not applicable
75750_1x_4ul_rerun_BA3_01_21390.mzXML,11442.G75750,soy sauce/tamari sauce,water,organic soybeans,salt,organic alcohol,not applicable,not applicable,not applicable
75846_1x_BE3_01_20751.mzXML,11442.G75846,"BDK citrus hops, kombucha",filtered water,organic white tea,organic cane sugar,organic hops,organic oranges,organic coriander,"live kombucha cultures (yeast, bacteria)"
75904_1x_BA11_01_17394.mzXML,11442.G75094,baby spinach,spinach,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78802_1x_BF9_01_17462.mzXML,11442.G78802,carrot,carrot,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78806_1x_BG11_01_17510.mzXML,11442.G78806,Garden Onion top (white onion),onion,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78808_5x_RE12_01_17452.mzXML,11442.G78808,Garden Blueberry,blueberry,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78810_1x_BF12_01_17484.mzXML,11442.G78810,Garden cilantro (from seed),cilantro,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78812_5x_RA5_01_17388.mzXML,11442.G78812,Garden kale (can't remember if this one was from seed or starter),kale,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78813_1x_BA6_01_17389.mzXML,11442.G78813,Garden Arugula (from seed),arugula,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78814_1x_BB5_01_17424.mzXML,11442.G78814,Garden nasturtium leaf,nasturtium leaf,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78815_1x_BB11_01_17407.mzXML,11442.G78815,Garden nasturtium flower,nasturtium flower,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78816_5x_RH5_01_17511.mzXML,11442.G78816,Garden Broccoli from heirloom seeds,broccoli,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78817_1x_BH11_01_17515.mzXML,11442.G78817,Garden lettuce from heirloom seed mix greens,lettuce,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78821_1x_BE6_01_17446.mzXML,11442.G78821,Store bought Olives Green,Olives,water,sea salt,lactic acid,ascorbic acid,not applicable,not applicable
78832_1x_BH12_01_17516.mzXML,11442.G78832,Garden Garlic tops,garlic,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
78841_1x_BD6_01_17433.mzXML,11442.G78841,"Instant Potatoes, microwaveble",potatoe,olive oil,salt,pepper,rosemary,herbs,not applicable
