filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
G75806_5x_rerun_BF4_01_20092.mzXML,11442.G75806,Apple paradise M704B 7171 63,whole grain yellow corn,soybean meal,corn gluten meal,corn hominy feed,sucrose,sugar beet pulp,dehydrated alfalfa meal;soybean oil;zinc sulfate;flaxseed oil;dicalcium phosphate;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;calcium pantothenate;sodium chloride;folic acid;l-ascorbyl-2-polyphosphate;natural and artificial color;pyridoxine hydrochloride;choline chloride;ethylenediamine dihydriodide;d-biotin;sodium selenite;vitamin B12 supplement;vitamin A supplement;vitamin D3 supplement;vitamin E supplement
G75807_5x_BC4_01_19972.mzXML,11442.G75807,pigeon seed 73,milo pop corn,peas,wheat,not applicable,not applicable,not applicable,not applicable
G75808_5x_BB5_01_19955.mzXML,11442.G75808,sweet potato and venison formula 56,sweet potatoes,venison,pea protein,potato protein,canola oil,brewers dried yeast,natural flavor;dicalcium phosphate;salmon oil;flaxseed;dried potato products;calcium carbonate;salt;dl-methione;zinc proteinate;zinc sulfate;ferrous sulfate;iron proteinate;copper sulfate;copper proteinate;manganese sulfate;manganese proteinate;calcium iodate;sodium selenite;choline chloride;vitamin E supplement;niacin;d-calcium pantothenate;vitamin A supplement;riboflavin supplement;thiamine mononitrate;vitamin D3 supplement;pyridoxine hydrochloride;folic acid;biotin;vitamin B12 supplement;taurine;mixed tocopherols;rosemary extract;green tea extract;spearmint extract
G75809_5x_rerun_BF5_01_20093.mzXML,11442.G75809,parakeet food 60,whole grain yellow corn,soybean meal,corn gluten meal,corn hominy feed,sucrose,sugar beet pulp,dehydrated alfalfa meal;soybean oil;zinc sulfate;flaxseed oil;dicalcium phosphate;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;calcium pantothenate;sodium chloride;l-lysine;copper sulfate;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;menadion nicotinamide bisulfite;l-ascorbyl-2-polyphosphate;natural and artifivial color;pyridoxine hydrochloride;choline chloride;ethylenediamine;dihydriodie;d-biotin;sodium selenite;vitamin B12 supplement;vitamin A supplement;vitamin D3 supplement;vitamin E supplement
G75810_5x_BD5_01_19990.mzXML,11442.G75810,leafeater 59,soybean meal,corn gluten meal,soybean hulls,sugar beet pulp,corn hominy feed,yellow corn,sucrose;dehydrated alfalfa meal;zinc sulfate;soybean oil;dicalcium phosphate;flaxseed oil;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;d-calcium pantothenate;sodium chloride;copper sulfate;l-lysine;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;menadione nicotinamide bisulfite;pyridoxine hcl;l-ascorbyl-2-polyphosphate;propionic acid;choline chloride;ethylenediamine dihydroiodide;fdc #4o;biotin;sodium selenite;vitamin b12 supplement;vitamin A supplement;vitamin D3 supplement;vitamin E supplement
G75811_5x_BG5_01_20038.mzXML,11442.G75811,parrot food 61,whole grain yellow corn,soybean meal,corn gluten meal,corn hominy feed,sucrose,sugar beet pulp,dehydrated alfalfa meal;soybean oil;zinc sulfate;flaxseed oil;dicalcium phosphate;niacin supplement;apple fiber;manganese sulfate;ferrous sulfate;calcium carbonate;calcium pantothenate;sodium chloride;red chili pepper;l-lysine;copper sulfate;riboflavin supplement;thiamin mononitrate;cobalt oxide;folic acid;l-ascorbyl-2-polyphosphate;natural and artificial color;pyridoxine hydrochloride;choline chloride;ethylenediamine dihydriodide;d-biotin;sodium selenite;vitamin B12 supplement;vitamin A supplement;vitamin D3 supplement;vitamin E supplement
G75812_5x_BH5_01_20058.mzXML,11442.G75812,primate browse biscuit 57,ground corn,dehulled soybean meal,corn gluten meal,dried beet pulp,ground aspen,sucrose,powdered cellulose;dried apple pomace;fructose;calcium carbonate;soybean oil;flaxseed;sodium hexametaphosphate;dicalcium phosphate;potassium chloride;brewers dried yeast;l-lysine;natural flavor;choline chloride;pyridoxine hydrochloride;l-ascorbyl-2-polyphosphate;salt;taurine;iron;polysaccharide complex;dl-methionine;folic acid;cholecalciferol;dl-alpha tocpheryl acetate;calcium pantothenate;biotin;vitamin A acetate;beta carotene;menadione;sodium bisulfite complex;preserved with tocopherols;thiamine mononitrate;magnesium oxide;rosemary extract;vitamin B12 supplement;riboflavin supplemement;nicotinic acid;citric acid;zinc proteinate;cobalt proteinate;ethylenediamine dihydroiodide;sodium selenite
G75813_5x_rerun_BE5_01_20084.mzXML,11442.G75813,chicken 16lbs healthy adult original zoo #50,chicken,chicken by-product meal,corn meal,corn grits,dried beet pulp,poultry by-product meal,natural flavor;dried egg product;brewers dried yeast;sodium bisulfate;potassium chloride;choline chloride;fish oil;dl-methionine;calcium carbonate;fructooligosaccharides;vitamin E supplement;niacin;ascorbic acid;vitamin A acetate;calcium pantothenate;biotin;thiamine mononitrate;pyridoxine hydrochloride;vitamin B12 supplement;riboflavin supplement;inositol;vitamin D3 supplement;folic acid;zinc oxide;manganese sulfate;copper sulfate;potassium iodide;taurine;l-carnitine;rosemary extract
G75814_5x_BC5_01_19975.mzXML,11442.G75814,primate diet 47,dehulled soybean meal,ground soybean hulls,ground corn,corn gluten meal,ground oats,dried beet pulp,"dried apple pomace, soybean oil, dehydrated alfalfa meal, dicalcium phosphate, calcium carbonate, flaxseed, brewers dried yeast, salt, l-ascorbyl-2-polyphosphate (stabilized vitamin C), dl-methionine, pyridoxine hydrochloride, choline chloride, folic acid, vitamin A acetate, cholecalciferol, d-alpha tocopheryl acetate (form of vitamin E), calcium pantothenate, ferrous sulfate, menadione sodium bisulfite complex (source of vitamin K), preserved with mixed tocopherols (form of vitamin E), biotin, rosemary extract, nicotinic acid, citric acid, thiamine mononitrate, vitamin B12 supplement, riboflavin supplement, zinc oxide, manganous oxide, ferrous carbonate, copper sulfate, zinc sulfate, calcium iodate, cobalt carbonate, sodium selenite"
G75815_5x_BA5_01_19947.mzXML,11442.G75815,dog feed 52,chicken,ground whole grain corn,ground whole grain sorghum,chicken by-product meal,dried beet pulp,chicken flavor,chicken fat;dried egg product;potassium chloride;flaxseed;carmel color;salt;l-lysine;monohydrochloride;choline chloride;carrots;tomatoes;calcium carbonate;fructooligosaccharides;spinach;green peas;ferrous sulfate;zinc oxide;sodium selenite;manganese sulfate;copper sulfate;manganous oxide;potassium iodide;vitamin E supplement;ascorbic acid;calcium pantothenate;vitamin A supplement;biotin;thiamine mononitrate;vitamin B12 supplement;niacin;riboflavin supplement;inositol;pyridoxine hydrochloride;vitamin D3 supplement;folic acid;brewers dried yeast;dl-methionine;dried apple pomace;l-carnitine;dried blueberry pomace;mixed tocopherols;rosemary extract
G75816_5x_2ul_BC2_01_19693.mzXML,11442.G75816,yerba mate,yerba mate,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75817_5x_4ul_rerun_BF2_01_19761.mzXML,11442.G75817,roasted mate,roasted mate,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75818_5x_4ul_BG2_01_19742.mzXML,11442.G75818,roasted mate guarana chai,roasted mate,clove,ginger,cinnamon,guarana nut,not applicable,not applicable
G75819_5x_2ul_BC3_01_19671.mzXML,11442.G75819,milk Oolong,milk Oolong,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75820_5x_4ul_BD2_01_19707.mzXML,11442.G75820,Orchid Oolong,Orchid Oolong,small leaf Wuyi,not applicable,not applicable,not applicable,not applicable,not applicable
G75821_5x_4ul_BD3_01_19708.mzXML,11442.G75821,Golden Needle,Golden Needle,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75822_5x_4ul_BF3_01_19732.mzXML,11442.G75822,lapsang souchong,lapsang souchong,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75823_5x_4ul_BH3_01_19754.mzXML,11442.G75823,English Breakfast,long-leaf Ceylon,Assam tea,not applicable,not applicable,not applicable,not applicable,not applicable
G75824_5x_4ul_BE3_01_19720.mzXML,11442.G75824,lychee black,black tea,lychee,not applicable,not applicable,not applicable,not applicable,not applicable
G75825_5x_2ul_BB3_01_19648.mzXML,11442.G75825,vanilla peach apricot,vanilla peach apricot,black tea,peach ,apricot,not applicable,not applicable,not applicable
G75826_5x_BA3_01_19609.mzXML,11442.G75826,Strawberry Sencha,Sencha leaf,strawberry,not applicable,not applicable,not applicable,not applicable,not applicable
G75827_5x_4ul_BH4_01_19755.mzXML,11442.G75827,relief tonics,relief tonics,not collected,not collected,not collected,not collected,not collected,not collected
G75828_5x_BA4_01_19610.mzXML,11442.G75828,citrus green rooibos,red rooibos,green rooibos,fruits,flowers,stevia,not applicable,not applicable
G75829_5x_10ul_rerun_BG4_01_19763.mzXML,11442.G75829,lapacho,lapacho bark,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75830_5x_2ul_BB4_01_19649.mzXML,11442.G75830,rooibos red bush,rooibos red bush,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75831_5x_4ul_BG3_01_19743.mzXML,11442.G75831,dragonwell,lung ching,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75832_5x_4ul_BD5_01_19711.mzXML,11442.G75832,bamboo mountain,Oolong,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75833_5x_BA5_01_19611.mzXML,11442.G75833,bao zhong oolong,bao zhong oolong,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75834_5x_4ul_BE4_01_19721.mzXML,11442.G75834,1st flush darjeeling,1st flush darjeeling,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75835_5x_2ul_BB5_01_19650.mzXML,11442.G75835,darjeeling 2nd flush,darjeeling 2nd flush,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75836_5x_4ul_BH5_01_19756.mzXML,11442.G75836,Assam,Assam,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75837_1x_RE5_01_20322.mzXML,11442.G75837,"seaweed, laver, roasted",laver,canola oil,sesame oil,salt,not applicable,not applicable,not applicable
G75838_1x_10ul_RD5_01_20305.mzXML,11442.G75838,"sunchoke, raw",sunchoke,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75839_1x_RG5_01_20558.mzXML,11442.G75839,taro root,taro root,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75840_1x_rerun_8ul_RC5_01_20392.mzXML,11442.G75840,"papaya, fresh, sweet","papaya, fresh, sweet",not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75841_1x_RB5_01_20255.mzXML,11442.G75841,"cactus, nopales, cooked in avocado oil, Ralfs",cactus,avocado oil,not applicable,not applicable,not applicable,not applicable,not applicable
G75842_1x_rerun_15ul_RF5_01_20570.mzXML,11442.G75842,"cactus, nopales, raw, Ralfs",cactus,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75843_5x_10ul_rerun_BF7_01_19762.mzXML,11442.G75843,"egg white, soft boiled, cooked",egg,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75844_5x_4ul_BG7_01_19747.mzXML,11442.G75844,"egg yolk, soft boiled, runny",egg,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75845_1x_10ul_rerun_RF5_01_19935.mzXML,11442.G75845,whipping cream,whipping cream,not collected,not collected,not collected,not collected,not collected,not collected
G75847_5x_BC5_01_19673.mzXML,11442.G75847,mandarin Pu-erh,Pu-erh leaves,mandarin ,not applicable,not applicable,not applicable,not applicable,not applicable
G75848_5x_4ul_BG5_01_19745.mzXML,11442.G75848,sun moon lake,sun moon lake,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75849_5x_4ul_BF4_01_19733.mzXML,11442.G75849,Silver Needles,Silver Needles,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75850_5x_4ul_BF6_01_19735.mzXML,11442.G75850,Hojicha,Green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75851_5x_4ul_BE6_01_19723.mzXML,11442.G75851,japanese sencha,Green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75852_5x_4ul_BE7_01_19724.mzXML,11442.G75852,soaring crane,Green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75853_5x_2ul_BB7_01_19653.mzXML,11442.G75853,Pear & Pomegranate,Pear & Pomegranate,not collected,not collected,not collected,not collected,not collected,not collected
G75854_5x_2ul_BC7_01_19677.mzXML,11442.G75854,Gunpowder,small-leaf green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75855_5x_BA7_01_19613.mzXML,11442.G75855,High Mountain Nilgiri,High Mountain Nilgiri,not collected,not collected,not collected,not collected,not collected,not collected
G75856_5x_4ul_BD7_01_19713.mzXML,11442.G75856,Lapu Mountain Souchong,Lapu Mountain Souchong,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75857_5x_4ul_BH7_01_19758.mzXML,11442.G75857,English Breakfast,English Breakfast,not collected,not collected,not collected,not collected,not collected,not collected
G75858_1x_RG7_01_26460.mzXML,11442.G75858,"mocha frappaccino, starbucks",Brewed Starbucks Coffee,reduced fat milk,sugar,cocoa,pectin,ascorbic acid,not applicable
G75859_1x_rerun_RE7_01_26482.mzXML,11442.G75859,"Black Tea, Nestea [leaves from Nilgiri]",Brewed Black Tea,citric acid,not applicable,not applicable,not applicable,not applicable,not applicable
G75860_1x_RH7_01_26475.mzXML,11442.G75860,"Green Tea, iced, Tazo, organic",water,organic green tea,organic lemongrass,organic spearmint,organic lemon verbena,natural flavors,organic cane sugar;citric acid
G75861_1x_BC4_01_26570.mzXML,11442.G75861,Primo Taglio Roasted Turkey Breast,turkey breast meat,turkey broth,salt,dextrose,sodium phosphate,"oil (cottonseed, soybean or vegetable)",not applicable
G75862_1x_RH6_01_26472.mzXML,11442.G75862,"Coffee, iced, unsweetened, Starbucks","Brewed Starbucks Coffee (water, coffee)",not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G75863_1x_RF7_01_26446.mzXML,11442.G75863,"chocolate almond milk, Silk","almondmilk (filtered water, almonds)",cane sugar,cocoa (processed with alkali),"vitamin and mineral blend (calcium carbonate, sodium ascorbat, vitamin E acetate, vitamin A palmitate, vitamin D2)",ea salt,natural flavor,sunflower lecithin;locust bean gum;gellan gum
G75864_1x_10ul_RD11_01_19823.mzXML,11442.G75864,Monster (probably),not collected,not collected,not collected,not collected,not collected,not collected,not collected
G75865_1x_10ul_rerun_RE11_01_19928.mzXML,11442.G75865,Dr. Pepper (probably),not collected,not collected,not collected,not collected,not collected,not collected,not collected
G75866_1x_10ul_RF11_01_19868.mzXML,11442.G75866,Coca Cola (probably),not collected,not collected,not collected,not collected,not collected,not collected,not collected
G75867_1x_10ul_RG11_01_19906.mzXML,11442.G75867,ice tea (probably),not collected,not collected,not collected,not collected,not collected,not collected,not collected
G75868_1x_10ul_RH11_01_19924.mzXML,11442.G75868,sweetened green tea (probably),not collected,not collected,not collected,not collected,not collected,not collected,not collected
G78803_5x_rerun_10ul_BA9_01_19655.mzXML,11442.G78803,egg white,egg,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78804_1x_BF7_01_19543.mzXML,11442.G78804,bread,not collected,not collected,not collected,not collected,not collected,not collected,not collected
G78805_BB12_01_18935.mzXML,11442.G78805,cinnamon egg,egg,cinnamon,soy milk,not collected,not collected,not collected,not collected
G78807_1x_RG2_01_20346.mzXML,11442.G78807,Garden mint (chocolate),Garden mint (chocolate),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78811_p12_g12_rerun_GC8_01_21708.mzXML,11442.G78811,Garden Bay leaf (from start),bay leaf,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78819_rerun_BC12_01_19079.mzXML,11442.G78819,Mini M&M,"milk chocolate (sugar, chocolate, skim milk, cocoa butter, lactose, milkfat, soy lecithin, salt, artificial flavors)",sugar,cornstarch,corn syrup,dextrin,"coloring (includes yellow 5 lake, red 40 lake, blue 1 lake, yellow 6 lake, blue 2 lake, yellow 5, red 40, blue 1, yellow 6, blue 2)",dextrin
G78820_BD12_01_19000.mzXML,11442.G78820,"home made stuffed peppers (cumin, salt, pepper, creamcheese, chedar cheese, mozerella cheese, bacon, jalipino peppers) ",cumin,salt,pepper,cream cheese,cheddar cheese,jalepeno peppers,not collected
G78824_2x_RC4_01_19128.mzXML,11442.G78824,apple sauce,apples,water,concentrated apple juice,ascorbic acid,not applicable,not applicable,not applicable
G78825_2x_RA3_01_19097.mzXML,11442.G78825,french fry,potato,not collected,not collected,not collected,not collected,not collected,not collected
G78826_5x_BC2_01_18285.mzXML,11442.G78826,grilled cheese- cheese only,not collected,not collected,not collected,not collected,not collected,not collected,not collected
G78827_2x_RF4_01_19181.mzXML,11442.G78827,Trader Joe's hashbrowns,potatoes,vegetable oil,salt,dextrose,citric acid,not applicable,not applicable
G78828_1x_BB8_01_20145.mzXML,11442.G78828,red curry paste,not collected,not collected,not collected,not collected,not collected,not collected,not collected
G78829_1x_RE12_01_18865.mzXML,11442.G78829,coconut milk fat,coconut milk fat,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78830_RH12_01_17795.mzXML,11442.G78830,baby corn,corn,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78831_5x_BG8_01_20043.mzXML,11442.G78831,brown rice,cooked organic brown rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78833_1x_RF12_01_18879.mzXML,11442.G78833,collard greens,collard greens*,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78835_1x_RC12_01_18824.mzXML,11442.G78835,plantain,plantain,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78836_5x_BD4_01_19989.mzXML,11442.G78836,bean,bean,not collected,not collected,not collected,not collected,not collected,not collected
G78837_RG12_01_17634.mzXML,11442.G78837,rice,rice,not collected,not collected,not collected,not collected,not collected,not collected
G78839_BF12_01_19030.mzXML,11442.G78839,Red lentil curry,lentils,curry,tomato,pepper,cumin seeds,not applicable,not applicable
G78840_5x_BE12_01_18323.mzXML,11442.G78840,Boursin cheese,pasteurized cultured milk and cream,garlic,salt,white pepper,parsley,chives,not applicable
G78842_BE12_01_19014.mzXML,11442.G78842,Cereals,whole grain oats,cane sugar,sunflower oil,rice,dark chocolate chips,almonds,cocoa powder;molasses;sea salt;vitamin E;dark chocolate chips: cane sugar;chocolate liquor;cocoa butter;vanilla
G78843_BG12_01_19045.mzXML,11442.G78843,yellow gummy bear,corn syrup,sugar,modified corn starch,gelatin,citric acid,apple juice from concentrate,"sodium citrate;natural and artificial flavors;coconut oil;colors (black carrot juice, beta-carotene,spiruline extract, turmeric);carnauba wax"
G78844_2x_RD3_01_19141.mzXML,11442.G78844,Red gummy bear,corn syrup,sugar,modified corn starch,gelatin,citric acid,apple juice from concentrate,"sodium citrate;natural and artificial flavors;coconut oil;colors (black carrot juice, beta-carotene,spiruline extract, turmeric);carnauba wax"
G78860_1x_10ul_rerun_RE12_01_19929.mzXML,11442.G78860,organic ketchup,organic tomato puree,organic sugar,organic white vinegar,salt,organic onion powder,organic spices,not applicable
G78861_1x_10ul_RF12_01_19889.mzXML,11442.G78861,canola oil,canola oil,not collected,not collected,not collected,not collected,not collected,not collected
G78862_RD2_01_17571.mzXML,11442.G78862,red lentils,red lentils,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78863_rerun_5ul_RE2_01_17697.mzXML,11442.G78863,boiled adzuki beans,adzuki bean,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78864_RC2_01_17558.mzXML,11442.G78864,boiled forbidden rice,forbidden rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78865_5x_rerun_BF12_01_20100.mzXML,11442.G78865,"Marzen/Octoberfest-style ale grain mixture, before steeping",malt,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78866_5x_BE12_01_20016.mzXML,11442.G78866,"Marzen/Octoberfest-style ale grain mixture, after steeping",malt,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78867_5x_rerun_BG12_01_20105.mzXML,11442.G78867,"Pumpkin ale grain mixture, before steeping",malt,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78868_5x_10ul_BA12_01_19881.mzXML,11442.G78868,"Pumpkin ale grain mixture, after steeping",malt,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78869_5x_RE6_01_19523.mzXML,11442.G78869,Crystal hops pellet,hops,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78870_5x_10ul_RG6_01_19555.mzXML,11442.G78870,Styrian Golding hops pellet,hops,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78871_5x_RA8_01_20127.mzXML,11442.G78871,Pumpkin beer spice mix,cinnamon,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78872_1x_RC1_01_23281.mzXML,11442.G78872,raw filet mignon,Filet Mignion,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78873_1x_RB11_01_23277.mzXML,11442.G78873,cooked filet mignon,Filet Mignion,olive oil,pepper,salt,not applicable,not applicable,not applicable
G78874_BA4_01_18638.mzXML,11442.G78874,chicken (breast) cooked,chicken,dried lemon peel,pepper,salt,not applicable,not applicable,not applicable
G78875_BD3_01_18683.mzXML,11442.G78875,chicken (breast) raw,chicken,dried lemon peel,pepper,salt,not applicable,not applicable,not applicable
G78876_BG3_01_18742.mzXML,11442.G78876,duck (breast) raw,duck,salt,not applicable,not applicable,not applicable,not applicable,not applicable
G78877_BF4_01_18727.mzXML,11442.G78877,duck (breast) cooked,duck,salt,not applicable,not applicable,not applicable,not applicable,not applicable
G78878_1x_RH6_01_20363.mzXML,11442.G78878,quince,quince,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78879_BB4_01_18653.mzXML,11442.G78879,duck (leg) raw,duck,salt,herb mix,not applicable,not applicable,not applicable,not applicable
G78880_BC4_01_18669.mzXML,11442.G78880,duck (leg) cooked,duck,salt,herb mix,not applicable,not applicable,not applicable,not applicable
G78881_5x_BG4_01_20037.mzXML,11442.G78881,wheatberry from trader Joe's salad,butternut squash,red quinoa,wheatberry,arugula,cranberries,toasted almonds,goat cheese;honey sesame vinaigrette
G78883_lentil_red_BF1_01_20549.mzXML,11442.G78883,lentil_red,red split lentils,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78884_chia_seed_BG1_01_20553.mzXML,11442.G78884,chia_seed,chia seed,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78885_5x_BD12_01_19999.mzXML,11442.G78885,beer mash,beer mash,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78909_1x_RD5_01_18830.mzXML,11442.G78909,avocado,avocado,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78910_1x_RC5_01_18816.mzXML,11442.G78910,Green Tomato,Green Tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78911_p19_g8_GB7_01_21678.mzXML,11442.G78911,Liver sausage/ liver worst,Liver sausage/ liver worst,not collected,not collected,not collected,not collected,not collected,not collected
G78912_2x_RD4_01_19142.mzXML,11442.G78912,Garlic hummus,fresh steamed chickpeas,sesame tahini,sunflower oil,olive oil,roasted garlic,water,sea salt;citric acid;guar gum;cumin;turmeric
G78913_RF3_01_17605.mzXML,11442.G78913,forbidden rice,forbidden rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78914_rerun_RB4_01_17552.mzXML,11442.G78914,jade pearl rice,jade pearl rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78915_RG3_01_17625.mzXML,11442.G78915,orzo,organic semolina (thiamine mononitrate;niacin;riboflavin;ferrous sulfate;folic acid),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78916_RF2_01_17604.mzXML,11442.G78916,red rice,red rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78917_rerun_5ul_RC4_01_17654.mzXML,11442.G78917,black lentils,black lentils,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78918_rerun_RA4_01_17526.mzXML,11442.G78918,red split lentils,red split lentils,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78919_RA2_01_17522.mzXML,11442.G78919,sweet brown rice,sweet brown rice,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78920_RB3_01_17538.mzXML,11442.G78920,pumpkin seeds,pumpkin seeds,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78921_rerun_5ul_RD3_01_17663.mzXML,11442.G78921,shelled sunflower seeds,shelled sunflower seeds,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78926_rerun_5ul_RD4_01_17754.mzXML,11442.G78926,soft white wheat berries,soft white wheat grain,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78927_rerun_5ul_RG2_01_17724.mzXML,11442.G78927,raw pecan halves,pecan,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78928_RF4_01_18381.mzXML,11442.G78928,macadamia nuts,macadamia nuts,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78929_rerun_5ul_RC3_01_17653.mzXML,11442.G78929,brazil nuts,brazil nuts,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78930_RF5_01_17607.mzXML,11442.G78930,whole unsalted cashews,cashews,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78931_BG10_01_18750.mzXML,11442.G78931,uncured jalapenocheddar beef and pork bratwurst cooked,beef,pork,not collected,not collected,not collected,not collected,not collected
G78932_BH10_01_18765.mzXML,11442.G78932,uncooked beef NY strip USDA prime Costco,steak,salt,pepper,not collected,not collected,not collected,not collected
G78933_BB10_01_18661.mzXML,11442.G78933,raw chicken neck,chicken,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78934_BF10_01_18735.mzXML,11442.G78934,uncured jalapenocheddar beef and pork bratwurst uncooked,beef,pork,water,"cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, natamycin)",sea salt,dehydrated jalapenos,mustard;vinegar;celery powder;cherry powder;garlic powder;black pepper;paprika;dehydrated onion;white pepper;coriander
G78935_BC10_01_18676.mzXML,11442.G78935,grilled beef NY strip USDA prime Costco,beef,not collected,not collected,not collected,not collected,not collected,not collected
G78936_rerun_BD10_01_18711.mzXML,11442.G78936,"marinated chicken breast, foster farms",chicken,not collected,not collected,not collected,not collected,not collected,not collected
G78937_BA11_01_18646.mzXML,11442.G78937,lamb shoulder chops,lamb,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78938_BA10_01_18645.mzXML,11442.G78938,lamb shoulder chops,lamb shoulder chops,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78939_BD8_01_18689.mzXML,11442.G78939,boneless pork shoulder roast,boneless pork shoulder roast,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78940_BA8_01_18643.mzXML,11442.G78940,boneless pork shoulder roast,boneless pork shoulder roast,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78941_rerun_BH8_01_18780.mzXML,11442.G78941,boneless pork shoulder roast,boneless pork shoulder roast,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78942_rerun_BH9_01_18781.mzXML,11442.G78942,boneless chuck roast,boneless chuck roast,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78943_BD9_01_18690.mzXML,11442.G78943,boneless chuck roast,boneless chuck roast,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78944_BB8_01_18659.mzXML,11442.G78944,boneless chicken thigh,boneless chicken thigh,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G78945_BA6_01_18640.mzXML,11442.G78945,boneless chicken thigh,boneless chicken thigh,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
